Acc. No.,Title,Author,Place,Publisher,Year,Edition,Language,Subject
000001,Engineering Mechanics Statics and Dynamic,"Singer,Ferdinand.L",Singapur,Harper,1975,2.0,English,MECHANICAL ENGINEERING
000002,A Text Book of Applied Mechanics,Ramamurtham S,Delhi,Dhanpat Ray,1974,5.0,English,MECHANICAL ENGINEERING
000005,Workshop Technology - I,Raghuwanshi B.S,Delhi,Dhanpat Rai,1995,6.0,English,MECHANICAL ENGINEERING
000010,Mechanical Engineering Science,Ravi,Bangalore,V. K,1993,1.0,English,MECHANICAL ENGINEERING
000012,Differential Calculus,Shanti Narayan,Delhi,S Chand,1997,1.0,English,MATHEMATICS
000018,Higher Engineering Mathematics,Grewal B S,Delhi,Khanna,1996,33.0,English,MATHEMATICS
000024,Engineering Mathematics,H K Dass,Delhi,S Chand,1997,2.0,English,MATHEMATICS
000029,A Text Book of Physics,"Patil, G.C",Dharwad,Megha,1996,,English,PHYSICS
000034,Engineering Chemistry,Jain & Jain,New Delhi,Dhanapatrai,1996,,English,CHEMISTRY
000043,Programming With Forton-77,Lipshutre Seymour,Singapure,Sehour,1982,4.0,English,COMPUTER SCIENCE
000048,Computer Programming in Forton,"Rajaraman, V",PHI,Delhi,1997,4.0,English,COMPUTER SCIENCE
000055,Engineering Mathematics,Kumbhojkar G V,Mumbai,C Jamdas,1997,,English,MATHEMATICS
000065,Applied Mathematics,"Wartikar, P. N,War, J.N",Pune,Vidyarthi,1997,5.0,English,MATHEMATICS
000070,Advanced Engineering Mathematics,Erwin Kreyszig,Delhi,New Age,1997,2.0,English,MATHEMATICS
000081,Engineering Physics,Kulkarni D S,Belgaum,Manorama,1993,,English,PHYSICS
000086,Engineering Physics,Kumar & Basavaraju,Bangalore,Subhash,1995,1.0,English,PHYSICS
000091,Text Book of Physical Chemistry,"Soui, P.L,Dharmarha",Delhi,S Chand,1992,1.0,English,CHEMISTRY
000099,Optics,Ghatak Ajoy,Delhi,Tata mc graw h,1996,2.0,English,PHYSICS
000103,Optics,"Subrahmanyam, N",Delhi,S Chand,1996,,English,PHYSICS
000113,Engineering Mechanics,"Bhavikatti,Rajshekhappa",Bangalore,New Age,1997,,English,MECHANICAL ENGINEERING
000125,Engineering Mechanics,Timoshenko & Young,Singapur,Mac graw,1997,5.0,English,MECHANICAL ENGINEERING
000134,"Engineering Mechanics, Satics and Dynamic","Singer,Ferdinad",India,Harper,1997,3.0,English,MECHANICAL ENGINEERING
000144,Vector Mechanics for Engineers Statics,"Beer , Ferdinand . P,Joh",nDelhi,Tata mc graw h,1997,2.0,English,MECHANICAL ENGINEERING
000164,Strength Of Materials,Basavaraju B.S.Mahadev,Delhi,C B S,1995,2.0,English,MECHANICAL ENGINEERING
000169,A Course in Electrical Technology,Gupta Soni,Delhi,S K Kathria,1995,,English,ELECTRONICS & COMMUNICAT
000171,Electrical Technology,Cotton. H,Delhi,C B S,1984,,English,ELECTRONICS & COMMUNICAT
000181,Electrical Technology,Hughes Edward,Delhi,C B S,1995,7.0,English,ELECTRONICS & COMMUNICAT
000189,Problems in Electrical Engineering,"Parkarsmith,N.N,",Delhi,C B S,1984,4.0,English,ELECTRONICS & COMMUNICAT
000191,Problems in Electrical Engineering,"Parkarsmith,",Delhi,C B S,1984,4.0,English,ELECTRONICS & COMMUNICAT
000192,Problems In Electrical Engineering,"Parkarsmith,N.N",Delhi,C B S,1984,4.0,English,ELECTRONICS & COMMUNICAT
000193,Engineering Physics,"Gour, R. K,Gupta",Delhi,Dhanpat,1997,1.0,English,PHYSICS
000225,Engineering Mechanics,"Mariam,J.L,Kraige",Sigapur,John Willy,1996,2.0,English,MECHANICAL ENGINEERING
000226,Engineering Mechanics,Timosenko S Young,Delhi,TataMc.,1996,4.0,English,MECHANICAL ENGINEERING
000232,Mechanical Engineering Science,"Rajin,Mishra",Bangalor,Kumar,1996,1.0,English,MECHANICAL ENGINEERING
000242,Engineering Mechanics,Rajan,Bangalor,Kumar,1997,1.0,English,MECHANICAL ENGINEERING
000252,Computer Programming,"Nisha,Nitin",Bangalor,Kumar,1998,1.0,English,COMPUTER SCIENCE
000262,Electrical Science,"Nisha,Krishna",Bangalor,Kumar,1998,1.0,English,ELECTRONICS & COMMUNICAT
000272,Engineering Chemistry,Mishra & Singh,Bangal,Kumar,1996,1.0,English,CHEMISTRY
000292,Question Bank,D.E.Ist Sem,Belgaum,Manorama,1997,,English,PHYSICS
000308,Engineering Physics,"Nisha ,Ranjan",Bangalor,Kumar,1998,,English,PHYSICS
000318,Electrical Science,"Yoganarsihman,B.N",Belgaum,Manorama,1994,5.0,English,ELECTRONICS & COMMUNICAT
000337,Mechanical Engineering Science,"Gopalkrishna,K.R,Ferdin",aBangalor,Subhas,1997,2.0,English,MECHANICAL ENGINEERING
000341,Programming With Forton,"Venugopal K R ,Vimala",Delhi,T.M.G,1997,4.0,English,COMPUTER SCIENCE
000344,Engineering Mechanics,Khurmi R S,New Delhi,S Chand,1997,,English,MECHANICAL ENGINEERING
000347,Engineering Mechanics,Junnarkar Shah,New Delhi,Engineering M,e1997,,English,MECHANICAL ENGINEERING
000360,Applied Mechanics,Junnurkar Shah,Delhi,S Chand,1997,,English,MECHANICAL ENGINEERING
000386,A Text Book Of Engineering Physics,Patil. H C,Dharwad,Megha,1997,,English,PHYSICS
000393,Principles Of Electrical & Electronics,Mehta V k,New DElhi,S Chand,1996,1.0,English,ELECTRONICS & COMMUNICAT
000403,Electrical Science,Yoganarasihman. B. N,Belgaum,Manorama,1997,5.0,English,ELECTRONICS & COMMUNICAT
000421,Mechanical Engineering Science,Gopalkrishna K R,Bangalore,Subhash,1998,13.0,English,MECHANICAL ENGINEERING
000434,Text Book Of Engineering Physics,Basavaraju S P,Dharwad,Megha,1997,,English,PHYSICS
000436,A Text Book of Engineering Physics,"Patil G C,",Dharwad,Megha,1997,1.0,English,PHYSICS
000448,Vector Mechanica For Engineering Dynamics,"Beer F P,Johnson",New Delhi,Tata Mc Graw,H1997,,English,MECHANICAL ENGINEERING
000457,Engineering Mathematics I,Nisha & Ranjan,Bangalore,Kumar & Kuma,1998,1.0,English,MATHEMATICS
000468,Question Bank,Kumar & Kumar,Belgaum,Manorama,1997,,English,GENERAL
000470,Vogets Practicakl Organic Chemistry,Furuiss Brain,Singapore,Longman,1997,5.0,English,CHEMISTRY
000476,Engineering Mechanics,Bhavikatti S S,New Delhi,New Age,1998,,English,MECHANICAL ENGINEERING
000492,Mechanics of Materials,Popou E P,New Delhi,Prentice Hall,1991,,English,MECHANICAL ENGINEERING
000493,Strength Of Materials,Ramamrutham S,New Delhi,Dhanpat Rai,1998,11.0,English,MECHANICAL ENGINEERING
000505,Strength Of Materials,Bhavikatti S s,New Delhi,Vikas,1997,,English,MECHANICAL ENGINEERING
000508,Engineering Drawing,Gopalakrishna K R,Bangalore,Subhash,1996,,English,MECHANICAL ENGINEERING
000529,Engineerimg Mathematics Vol I,S S Sastry,New Delhi,Prentice,1997,5.0,English,MATHEMATICS
000530,Programming With Forton,Lipschur Seymour,Singapore,Tata Mc Graw,H1997,4.0,English,COMPUTER SCIENCE
000543,Strength Of Materials,Pytel & Singer,New Delhi,Harper Collins,1997,4.0,English,MECHANICAL ENGINEERING
000548,Strength Of Materials,Thimoshenko S P,Delhi,C B S,1986,3.0,English,MECHANICAL ENGINEERING
000550,Strength Of Materials,Basavaraju & Mohod,Delhi,CBS,1995,2.0,English,MECHANICAL ENGINEERING
000563,Strength Of Materials,Ramamrutham & Naraya,Delhi,Dhanpat Rai,1997,12.0,English,MECHANICAL ENGINEERING
000568,Analysis & Structures,Vazieaus & ratwani,New Delhi,Khanna,1997,6.0,English,MECHANICAL ENGINEERING
000583,Engineering Mathematics,Bali N P,New Delhi,Laxmi,1998,2.0,English,MATHEMATICS
000588,Text Book of Organic Chemistry,Furniss & Hannaford,Singapore,Longmann,1997,5.0,English,CHEMISTRY
000638,Engineering Drawing,Bhatt N D,Bangalore,Subhash,1997,,English,MECHANICAL ENGINEERING
000644,Electronic Devices & Circuits,Mottershed Allen,New Delhi,Prentice Hall,1998,,English,ELECTRONICS & COMMUNICAT
000650,Modern Digital Analog Communication,Lathi B P,Delhi,Oxford Univers,1997,2.0,English,ELECTRONICS & COMMUNICAT
000653,Networks Lines & Fields,Ryder John,Delhi,Prentice Hall,1997,2.0,English,ELECTRONICS & COMMUNICAT
000655,Digital Application & Principles,Leach & Malvino,Delhi,Tata Mc Graw,H1996,4.0,English,COMPUTER SCIENCE
000657,Principles Of Electronics,Mehta V K,Delhi,S Chand,1998,,English,ELECTRONICS & COMMUNICAT
000662,Electronic Devices & Circuits,"Millman,Halkies",New Delhi,Tata Mc Grawh,1997,,English,ELECTRONICS & COMMUNICAT
000665,Antenna Wave Propagation,Prasad K.D,Delhi,Satya Prakash,1998,,English,ELECTRONICS & COMMUNICAT
000667,Digital Electronic,Gothman William,New Delhi,Prentice Hall,1995,2.0,English,ELECTRONICS & COMMUNICAT
000672,Network Analysis,Valkenburg M E Van,New Delhi,Prientice Hall,1997,2.0,English,ELECTRONICS & COMMUNICAT
000673,Electronic Principles,Malvino Albert Paul,New Delhi,Tata Mc Graw,H1995,,English,ELECTRONICS & COMMUNICAT
000674,Electronic Communication System,Kennedy George,New Delhi,Tata Mc Graw,H1997,,English,ELECTRONICS & COMMUNICAT
000678,Pulse Digital Switching Wavelesors,Millman Jacob,New Delhi,Tata Mc Graw,H1995,,English,ELECTRONICS & COMMUNICAT
000689,Electrical Circuits Analysis,"Sony,Gupta",New Delhi,Dhanpat Rai,1998,,English,ELECTRONICS & COMMUNICAT
000694,Electrical Circuits,Edminister Joseph A,New Delhi,Tata Mc Graw,H1995,,English,ELECTRONICS & COMMUNICAT
000699,Fundamentals Of Classical Thermodynamics M,Wylen Gordon Van,Singapore,John Wiley,1997,,English,ELECTRONICS & COMMUNICAT
000701,Material Science and Metallurgy,Khanna O P,New Delhi,Dhanpat Rai,1997,,English,MECHANICAL ENGINEERING
000706,Material Science and Engineering,Raghavan V,New Delhi,Dhanpat Rai,1996,,English,MECHANICAL ENGINEERING
000711,Fundamentals Of Mettal Cutting & M Toools,Juneja B L,New Delhi,New Age,1998,,English,MECHANICAL ENGINEERING
000726,Engineering Drawing,"Bhatt N D, Panchal",Gujrat,Charator,1996,13.0,English,MECHANICAL ENGINEERING
000731,Fluid Mechanics & Hydraulics Machines,Bansal R K,New Delhi,Laxmi Pub,1997,,English,MECHANICAL ENGINEERING
000733,Digital Computers Fundamentals,Bartee Thomas C,New Delhi,Tata Mc Graw,H1992,4.0,English,COMPUTER SCIENCE
000734,The Spirit Of C,Cooper Mullish,Mumbai,Jaico Pub,1997,,English,COMPUTER SCIENCE
000737,Programming With C,Gotterfield Byron S,New Delhi,Tata Mc Graw,H1997,,English,COMPUTER SCIENCE
000742,Programming In C,Kochan Stephen,New Delhi,C B S,1991,,English,COMPUTER SCIENCE
000752,C programming Language(Ansi C),"Kernighan Brain,Ritchle",DNew Delhi,Prentice Hall,1998,2.0,English,COMPUTER SCIENCE
000764,Electronics Communication,Gupta Sanjeev,Delhi,Khanna,1998,,English,ELECTRONICS & COMMUNICAT
000765,Electronics Circuits & Systems,Bhapat Y N,Delhi,Tata Mc Graw,H1996,,English,ELECTRONICS & COMMUNICAT
000778,Communication System,Simon Haykin,New Delhi,John Wiley,1997,3.0,English,ELECTRONICS & COMMUNICAT
000780,Electronics Communication,"Roddy Dennis,John",New Delhi,Prentice hall,1997,3.0,English,ELECTRONICS & COMMUNICAT
000785,Digital Fundamentals,Floyd Thomas,Delhi,Universal Pub,1998,3.0,English,ELECTRONICS & COMMUNICAT
000796,Electronics In Industry,"George M Chute,Robert",New Delhi,Tata Mc Graw,H1979,5.0,English,ELECTRONICS & COMMUNICAT
000798,Fundamentals Of Electrical Engineering & Elec,tThereja B.L,New Delhi,S Chand,1998,,English,ELECTRONICS & COMMUNICAT
000808,Electrical Engineering Materials,Alagappan N,Delhi,Tata Mc Graw,H1998,,English,ELECTRONICS & COMMUNICAT
000813,Circuit Theory,Sinha Umesh,New Delhi,Satya,1997,,English,ELECTRONICS & COMMUNICAT
000815,Principles Of Telegraphy,Biswas N N,Bombay,Media Promot,e1998,,English,ELECTRONICS & COMMUNICAT
000835,Metal Cutting Theory,Bhattacharya A,Calcutta,New Central,1996,,English,MECHANICAL ENGINEERING
000840,Hydraulics Fluid Analysis,"Modi,Seth",Delhi,Standerd,1998,,English,MECHANICAL ENGINEERING
000847,Production Engineering Technology,"Pandey P C,Singh C K",New Delhi,Standerd,1998,,English,MECHANICAL ENGINEERING
000856,Solid State Physics,Kittel Charles,Singapore,John Wiley,1996,7.0,English,PHYSICS
000858,Digital Electronics,Sureban S H,Gadag,Western,1997,,English,ELECTRONICS & COMMUNICAT
000868,Network Analysis,Mithal G K,New Delhi,Khanna,1997,,English,ELECTRONICS & COMMUNICAT
000876,Solid State Electronics devices,Streetman Ben,Delhi,Prentice Halll,1997,4.0,English,ELECTRONICS & COMMUNICAT
000880,Machine Drawing,"Bhatt N D,Panchal",Anand,Chototar,1998,,English,MECHANICAL ENGINEERING
000900,Elements Of Material Science,Vlack Lawrence,New York,Wesely,1989,,English,MECHANICAL ENGINEERING
000908,Metal Cutting & Tools,"Juneja B L,Sekhon",Delhi,New Age,1998,,English,MECHANICAL ENGINEERING
000913,Engineering Thermodynamics,Nag P K,Delhi,New Age,1998,,English,MECHANICAL ENGINEERING
000923,Electrical Circuits,Yoganarsinman B N,Belgaum,Manorama,1991,,English,ELECTRONICS & COMMUNICAT
000931,Thermal Engineering,Rajput R K,Delhi,Laxmi,1998,,English,MECHANICAL ENGINEERING
000933,Thermodynamics,Wylen Van,Singapore,John Wiley,1997,4.0,English,MECHANICAL ENGINEERING
000936,Material Science & Process,Choudhary S K Hajara,Calcutta,Indian,1998,,English,MECHANICAL ENGINEERING
000951,Engineering Mathematics,D S Chandrasekharaiah,Bangalore,Prism,1998,,English,MATHEMATICS
000961,Digital Logic & Computer Design,Mano Morris,Delhi,Prentice Hall,1998,,English,COMPUTER SCIENCE
000966,IBM PC & Clones,Hongal Rajesh,Delhi,Western,1996,,English,ELECTRONICS & COMMUNICAT
000971,IBM PC & Clones,Govindrarajalu B,Delhi,Tata Mc Graw,1997,,English,ELECTRONICS & COMMUNICAT
000978,Electronic Devices & Circuits,Bell David,Delhi,Prentice Hall,1998,,English,ELECTRONICS & COMMUNICAT
000980,Electronic Circuits Analysis,"Soni,Gupta",Delhi,Dhanpat Rai,1997,,English,ELECTRONICS & COMMUNICAT
000987,Basic Electronics,Grob Bernard,New Delhi,Tata Mc Graw,H1984,,English,ELECTRONICS & COMMUNICAT
000989,Electronics Principles,Malvino,Delhi,Tata Mc Graw,H1997,5.0,English,ELECTRONICS & COMMUNICAT
001003,Digital Electronics Practice,"Jain R P,Anand",Delhi,Tata Mc Graw,H1995,1.0,English,ELECTRONICS & COMMUNICAT
001006,Electrrical & Electronics Engineering,Krishnamurthy & Raghav,Delhi,John Wiley,1993,,English,ELECTRONICS & COMMUNICAT
001009,Elements of Material Science and Engineering,Vlack Van Lawrence H,New Delhi,Addission,1959,6.0,English,MECHANICAL ENGINEERING
001017,Material Science and Engineering,Callister William,New DElhi,John Wiley,1997,,English,MECHANICAL ENGINEERING
001019,Engineering Mechanics,Kumar K L,Delhi,Tata Mc Graw,H1986,3.0,English,MECHANICAL ENGINEERING
001021,Mechanical Engineering,Roy & Others,Bombay,Media,1993,,English,MECHANICAL ENGINEERING
001025,Polymer Science,Gowarilar V R,Delhi,New Age,1998,,English,CHEMISTRY
001027,Building Materials,Duggal S K,Delhi,Oxford,1997,,English,ELECTRONICS & COMMUNICAT
001029,Concrete Technology,Shetty M S,Delhi,S Chand,1998,,English,ELECTRONICS & COMMUNICAT
001033,Fitter Shop Theory,Dev Kapil,Delhi,Asian,1998,,English,MECHANICAL ENGINEERING
001035,Engineering Materials,Rangwala,Anand,Charotor,1997,,English,MECHANICAL ENGINEERING
001058,Science Of Engineering Materials,Shrivastav & Shrinivas,Delhi,New Age,1994,,English,MECHANICAL ENGINEERING
001060,C Language C++ Graphics,Jayasri J,Delhi,New Age,1998,,English,COMPUTER SCIENCE
001062,Fundamentals Of Metal Cutting,Rajaraman V,Delhi,Prentice Hall,1997,2.0,English,MECHANICAL ENGINEERING
001065,Computer Programming in C,Raja Raman V,Delhi,Prentice Hall,1995,,English,COMPUTER SCIENCE
001071,Polymer Science,Billmeyer Fred W,Singapore,John Wiley,1994,,English,CHEMISTRY
001073,Quantitative Chemical Analysis,Jeffry G H & Others,Delhi,Addison,1997,5.0,English,CHEMISTRY
001075,Modern Physics,Richtmeyar & Kennard,Delhi,Tata Mc Graw,H1997,6.0,English,PHYSICS
001081,Electrical Technology,"Thereja B L,Thereja A l",Delhi,S Chand,1997,22.0,English,ELECTRONICS & COMMUNICAT
001085,Thermodynamics,Willey Gorden John,Singapore,John Wiley,1997,4.0,English,MECHANICAL ENGINEERING
001087,Material Science and Engineering,Raghavan v,Delhi,prentice Hall,1998,,English,MECHANICAL ENGINEERING
001114,IBM PC Clones,Govindarajalu B,Delhi,Tata Mc Graw,H1997,,English,ELECTRONICS & COMMUNICAT
001125,Programming With Pascal,Gotterfried Byron,Delhi,Tata Mc Graw,H1995,2.0,English,COMPUTER SCIENCE
001129,Materials Of Construction,Gjhose D N,Delhi,Tata Mc Graw,H1998,,English,MECHANICAL ENGINEERING
001156,Strength Of Materials,Thimoshenko & Others,New Delhi,Afficated,1968,5.0,English,MECHANICAL ENGINEERING
001176,Material Of Science & Engineering,Rahgavan v,Delhi,Prentice Hall,1997,4.0,English,MECHANICAL ENGINEERING
001201,Electrical Circuits,Yoganarasimhan B N,Belgaum,Manorama,1991,1.0,English,ELECTRONICS & COMMUNICAT
001210,Modern physics,Manik & Mehta,Delhi,New Age,1988,,English,PHYSICS
001211,Programming In ANSI C,Balguruswamy,Delhi,Tata Mc Graw,H1989,2.0,English,COMPUTER SCIENCE
001216,Polymer Science,"Gowariker, Viswanathan",New Delhi,New Age,1997,,English,CHEMISTRY
001231,Text Book Of Electrical Technology,Thereja B.L,Delhi,S Chand,1997,,English,ELECTRONICS & COMMUNICAT
001234,Water Pollution,Sharma B K,Meerut,Krishna,1998,,English,GENERAL
001238,Mechanical Engineering Science,Kumar & Mishra,Bangalore,Kumar,1999,,English,MECHANICAL ENGINEERING
001243,Mechanical Engineering,Mathur,Delhi,Dhanpat Rai,1984,,English,MECHANICAL ENGINEERING
001259,Engineering Mechanics,Shames Irving H,Delhi,Prentice,1996,,English,MECHANICAL ENGINEERING
001276,Metal Cutting Principles,Shaw C Milton,Delhi,C B S,1984,,English,MECHANICAL ENGINEERING
001311,Fundamentals Of Metal Cutting & Tools,Juneja B K & Others,Delhi,New Age,1998,,English,MECHANICAL ENGINEERING
001317,Digital Computer Fundamentals,Bartee Thomas,Delhi,Tata Mc Graw,H1998,6.0,English,COMPUTER SCIENCE
001330,Introductory Of Numerical Analysis,Shasstry S S,Delhi,Prentice,1998,3.0,English,COMPUTER SCIENCE
001349,Computers Today,Basndra Suresh,Delhi,Galgotia,1998,,English,COMPUTER SCIENCE
001351,Programming In ANSI C,Balguruswamy E,Delhi,Tata Mc Graw,H1998,2.0,English,COMPUTER SCIENCE
001359,Basic Electronics,Nisha K,Bangalore,Kumar & Kuma,1998,,English,ELECTRONICS & COMMUNICAT
001373,Electrical Circuits Analysis,Pungim R P,Bangalore,Interrtone,1994,,English,ELECTRONICS & COMMUNICAT
001381,Elements Of Electrical Science,Sahdev S K & Others,Delhi,S Chand,1997,,English,ELECTRONICS & COMMUNICAT
001394,A Text Book Of Electrical Technology,Thereja B L & Others,Delhi,S Chand,1997,22.0,English,ELECTRONICS & COMMUNICAT
001395,Advanced Engineering Mathematics,Lousis Barett,New York,Tata Mc Graw,H1995,6.0,English,MATHEMATICS
001396,Advanced Chemistry,Mathews Phillip,New Delhi,Combridge,1995,,English,CHEMISTRY
001404,Chemistry In Engineering & Technology I,Kuriacose & Rajaraman,Delhi,Tata Mc Graw,H1998,1.0,English,CHEMISTRY
001414,Text Book Of Quantity Chemistry,Jeffery & Others,England,Addison,1951,4.0,English,CHEMISTRY
001419,Chemistry In Engineering & Technology II,Kurriacose J K & Others,Delhi,Tata Mc Graw,H1998,,English,CHEMISTRY
001444,Workshop & Tool Handy Book,Anderson Edwin,Bombay,Tara,1976,,English,MECHANICAL ENGINEERING
001445,Introduction Mtds Numerical Analysis,Shastry S S,Delhi,Prentice,1990,2.0,English,MECHANICAL ENGINEERING
001447,Strength Of Materials,Pytels Andrew & Others,New York,Harper,1991,4.0,English,MECHANICAL ENGINEERING
001462,hayt William & Others,Engineering Circuits Ana,New York,Tata Mc Graw,H1993,5.0,English,ELECTRONICS & COMMUNICAT
001487,Basic Electronics,Yoganarsihman,Bangalore,Shiva,1998,2.0,English,ELECTRONICS & COMMUNICAT
001509,Electrical Science,Nisha k & Lal,Bangalore,Kumar & kuma,1999,,English,ELECTRONICS & COMMUNICAT
001519,Elements OF Civil Engineering,Mishra & Kumar,Bangalore,Kumar & Kuma,1999,,English,MECHANICAL ENGINEERING
001534,Computer Concepts & C Programming,Sudharshan S B,Bangalore,Kumar & Kuma,1999,,English,COMPUTER SCIENCE
001544,Computer Concepts & C Programming,Gundurao H K & Others,Bangalore,Subhash,1998,,English,COMPUTER SCIENCE
001554,Engineering Circuits Analysis,Hayt William & Others,New York,Tata Mc Graw,H1993,5.0,English,ELECTRONICS & COMMUNICAT
001557,Fundamentals Of Physics,Halliday & Resnick,New York,John Wiley,1997,5.0,English,PHYSICS
001574,Energy Conversion,Kadambi V & Prasad,Delhi,New Age,1997,,English,MECHANICAL ENGINEERING
001584,Engineering Metrology,Jain R K,Delhi,Khanna,1999,7.0,English,MECHANICAL ENGINEERING
001588,Thermal Engineering,R S Khurmi & J K Gupta,Delhi,S Chand,1999,,English,MECHANICAL ENGINEERING
001592,Mechanical Measuremants,Sirohi & Krishna,Delhi,New Age,1997,3.0,English,MECHANICAL ENGINEERING
001596,Thermal Engineering,Domkundwar & Others,Delhi,Dhanpat Rai,1998,,English,MECHANICAL ENGINEERING
001603,Theory Of Machines,Bevan Thomas,New Delhi,CBS,1984,3.0,English,MECHANICAL ENGINEERING
001605,Mechanical Measurements,Beckwith & Others,England,Addision,1993,5.0,English,MECHANICAL ENGINEERING
001619,Fluid Mechanics,Streeter & others,New York,Tata Mc Graw,H1998,8.0,English,MECHANICAL ENGINEERING
001620,Workshop Technology Vol I,Hajra Choudhary,Mumbai,Media,1992,,English,MECHANICAL ENGINEERING
001624,Hydraulics Fluid Mechanes,ramamrutham & Naraya,New Delhi,Dhanpat,1998,,English,MECHANICAL ENGINEERING
001629,Theory Of Machines,Rattan S S,New Delhi,Tata Mc Graw,H1998,,English,MECHANICAL ENGINEERING
001655,Introduction To Data Structure,Tremblay & Soreman,Delhi,Tata Mc Graw,H1998,2.0,English,COMPUTER SCIENCE
001668,Algorithms + Data Structures= Programs,Wirth Niklaus,New Delhi,Prentice,1998,,English,COMPUTER SCIENCE
001673,Data Structures In Pascal,Horowitz & Sahni,Galgotia,New Delhi,1982,,English,COMPUTER SCIENCE
001678,Microprocessors & Microcomputer,Ram B,Delhi,Dhanpat,1998,,English,COMPUTER SCIENCE
001688,OP-AMPS & Linear Integrated Circuits,Gayakwad Ramakant,New Delhi,Prentice,1999,3.0,English,ELECTRONICS & COMMUNICAT
001700,Instrumentation Measurements & Analysis,"Nakra B C,Choudhary",Delhi,Tata Mc Graw,H1997,,English,ELECTRONICS & COMMUNICAT
001705,Fundamentals Algorithms,Knuth Donald,England,Addision,1997,,English,COMPUTER SCIENCE
001710,Electronics Devices & Circuits,Millman & Haykins,Delhi,Tata Mc Graw,H1998,,English,ELECTRONICS & COMMUNICAT
001725,Modern Digital Electronics,Jain R P,New Delhi,Tata Mc Graw,H1998,2.0,English,ELECTRONICS & COMMUNICAT
001730,Power Electronics,Rashid Muhammed H.,New Delhi,Prentice,1998,2.0,English,ELECTRONICS & COMMUNICAT
001783,Pulse & Digital Electronics,Vanwasi & Mithal,Delhi,Khanna,1996,,English,ELECTRONICS & COMMUNICAT
001788,Process & Materials Of Manufactures,Lindberg Roy,Delhi,prentice,1998,4.0,English,MECHANICAL ENGINEERING
001790,Pulse Digital Switching Wavelesors,"Millman Jacob,Taub",New Delhi,Tata Mc Graw,H1998,,English,ELECTRONICS & COMMUNICAT
001812,Mechanical Metallurgy,Dieter George,London,tata Mc Graw h,988,,English,MECHANICAL ENGINEERING
001818,Elements Of Electrical Science,Chandrashekaraiah P M,Davangere,Rajeshware,1998,1.0,English,ELECTRONICS & COMMUNICAT
001833,Chemistry For Engineering Students,Jai Prakash B S,Bahgalore,Subhash,1999,,English,CHEMISTRY
001863,Heat & Mass Transfer,"Arora,Domkundwar",Delhi,Dhanpat,1998,,English,MECHANICAL ENGINEERING
001871,Mechanical Measurements,"Shrohi,Radha",Delhi,New Age,1997,3.0,English,MECHANICAL ENGINEERING
001876,Mechanical Metallurgy,Dieter George E,London,Tata Mc Graw,h1988,,English,MECHANICAL ENGINEERING
001894,Digital System,Tocci Ronald,Delhi,Prentice,1996,6.0,English,ELECTRONICS & COMMUNICAT
001904,Microprocessor Architecture Programming &,AGaonkar Ramesh,Mumbai,Penram,1997,3.0,English,COMPUTER SCIENCE
001919,Data Structure Using C & C++,"Langsam,Augenstein, Te",nNew Delhi,Prentice,1999,,English,COMPUTER SCIENCE
001960,Microprocessor & Architecture,Gaonkar Ramesh,Mumbai,Penram,1997,3.0,English,COMPUTER SCIENCE
001987,Probability & Statistics With Reliability,Trivedi Kishor,New Delhi,Prentice,1998,,English,ELECTRONICS & COMMUNICAT
002002,Microprocessors & Interfacing,Douglas V Hall,New Delhi,Tata Mc Graw,H1998,,English,ELECTRONICS & COMMUNICAT
002017,Computer Algorithms,"Ellis Horowitz,Sahni",New Delhi,Galgotia,1998,,English,COMPUTER SCIENCE
002025,Introduction To Microprocessors,Mathur Aditya P,New Delhi,Tata Mc Graw,H1998,,English,ELECTRONICS & COMMUNICAT
002030,Microcomputer System The 8086/8088 Family,"Liu Yu-Cheng,Gibson",New Delhi,Prentice,1998,2.0,English,COMPUTER SCIENCE
002032,A Text Book on Heat Transfer,Sukhatme S P,Hydrebad,Universities,1996,3.0,English,MECHANICAL ENGINEERING
002033,Machine Design ( Data Hand Book ),Patil H G,Belgaum,Sashi,1997,,English,MECHANICAL ENGINEERING
002038,A Course In internal Combustion Engines,"Mathur M L ,Sharma",New Delhi,Dhanpat,1976,1.0,English,MECHANICAL ENGINEERING
002041,Internal Combustion Engines & Air Pollution,Obert Edward F,New Delhi,Harper & Row,1973,3.0,English,MECHANICAL ENGINEERING
002042,Operation Research,"Gupta Premkumar,Hira",New Delhi,S Chand,1999,1.0,English,MECHANICAL ENGINEERING
002047,Design Data Hand Book,"Mahadevan K, Balaveera",Delhi,C B S,1996,3.0,English,MECHANICAL ENGINEERING
002064,Machine Design,"Khurmi R S,Gupta",New Delhi,Eurasia,1998,,English,MECHANICAL ENGINEERING
002069,Engineering Metrology,Gupta I C,New Delhi,Dhanpat,1998,5.0,English,MECHANICAL ENGINEERING
002074,Probability Information & Coding Theory,Sathyanarayana P S,Bangalore,dynaram,1992,1.0,English,ELECTRONICS & COMMUNICAT
002081,Electronics Analog & Digital,"Nagarath I.J,Gopal M",New Delhi,Prentice,1999,,English,ELECTRONICS & COMMUNICAT
002091,Mechanical Engineering Design,Shigleys joseph Edward,New Delhi,Tata Mc Graw,H1986,,English,MECHANICAL ENGINEERING
002096,Fluid Mechanics,Streeter & Others,New Delhi,Tata mc Graw,H1998,9.0,English,MECHANICAL ENGINEERING
