Acc. No.,Title,Author,Place,Publisher,Year,Edition,Language,Subject
018058,Introduction to Computer Science,L i T,Delhi,Pearson Edu,2011,2.0,English,COMPUTER SCIENCE
018067,MSP 430 Microcontroller Basics,Davies John H,New Delhi,Elsevier,2008,,English,ELECTRONICS & COMMUNICAT
018082,Data Structures,Gilberg Richard F,Delhi,Cengage Learn,i2011,2.0,English,COMPUTER SCIENCE
018084,Digital Systems,Tacci Ronald J,Delhi,Pearson Edu,2011,10.0,English,ELECTRONICS & COMMUNICAT
018097,A Verilog HDL Primer,Bhaskar J,Hyderabad,B S P Pub,2010,3.0,English,ELECTRONICS & COMMUNICAT
018099,Engineering mathematics I,Desai A R,Mangalore,Elite Pub,2011,,English,MATHEMATICS
018100,Let Us C,Kanitkar Yashwant P,New Delhi,B P B Pub,2009,,English,COMPUTER SCIENCE
018101,Building Construction,Rangwala S C,Anand,Charotar Pub,2003,21.0,English,ELECTRONICS & COMMUNICAT
018102,Hindi Dictionary,Puri S K,New Delhi,Sahani Pub,2000,,English,GENERAL
018103,Concise Illustrated Advanced Dictionary- Hindi,Gupta S S,New Delhi,Ashok Prakash,a2003,,English,GENERAL
018104,SQL PL/ SQL Programming Language Oracle,Bayross Ivan,New Delhi,B P B Pub,2003,2.0,English,COMPUTER SCIENCE
018106,UPSC Engineering Services Examination Solved,Pub G K,Noida,G K Pub,2005,,English,MECHANICAL ENGINEERING
018107,Standard Illustrated Advanced Dictionary Engl,iSharma S P,Delhi,Ashok Prakash,a2003,,English,GENERAL
018109,Internet Programming C G I Programming on t,Godse Ajay Prathap,Banglore,EDU LIFC Pub,2003,,English,COMPUTER SCIENCE
018111,Object Oriented Programming with C++,kotur P B,Bangalore,Spana Books,2003,,English,COMPUTER SCIENCE
018112,Strength Of Materials,Jayaram M A,Bangalore,Sapana Books,2003,3.0,English,MECHANICAL ENGINEERING
018114,The New Millennium General Knowledge,Krishnamurthy H R,Bangalore,Sapana Books,2003,,English,GENERAL
018115,Intermediate English Grammar,Murphy Raymond,New Delhi,Manas Saikia,2002,2.0,English,GENERAL
018116,Database System Concepts,Silberschatz Abrahim,New Delhi,Tata Mc Graw,H2002,4.0,English,COMPUTER SCIENCE
018119,Discrete Mathematical Structures,Vasudev C,Bangalore,Subhas Stores,2004,,English,COMPUTER SCIENCE
018121,Operations Research,Swarup Kanti,New Delhi,Suttan Chand,2004,,English,MECHANICAL ENGINEERING
018122,Computer Organization,Krishnananda L,Mangalore,Elite Pub,2007,,English,COMPUTER SCIENCE
018123,Getting Started With Matlab 7,Pratap Rudra,New Yark,Oxford Univers,2010,,English,MECHANICAL ENGINEERING
018126,Project Management,Choudhary S,New Delhi,Tata Mc Graw,H2010,,English,MECHANICAL ENGINEERING
018128,Metal Cutting Principles,Shaw Milton C,New Yark,Oxford Univers,2005,2.0,English,MECHANICAL ENGINEERING
018130,Linear Control System With Matlab Applicatio,nManke B S,Delhi,Khanna,2007,,English,ELECTRONICS & COMMUNICAT
018131,Power System Analysis,"Bergen Arthur R,Vitttal V",Delhi,Pearson Edu,2004,2.0,English,ELECTRONICS & COMMUNICAT
018132,Materials Management,"Gopalkrishanan P,Sunda",rNew Delhi,Prentice Hall,2003,,English,MECHANICAL ENGINEERING
018133,An Integrated Course in Electronics & Commin,"Rajput R K,Rajput Rames",Delhi,Birla,2011,,English,ELECTRONICS & COMMUNICAT
018134,Data Communication & Network,Godbole Achyut S,New Delhi,Tata Mc Graw,H2010,,English,COMPUTER SCIENCE
018135,Steam & Gas Turbine & Power Plant Engineeri,"nYadav R,Sanjay ,Rajay",Allahabad,Central Pub,2008,7.0,English,MECHANICAL ENGINEERING
018136,Computer Fundamentals & Programming In C,"Gundurao H K,Manjunat",hMumbai,Himalaya,2008,5.0,English,COMPUTER SCIENCE
018137,Fluid Mechanics,Mohanty A K,New Delhi,Prenitce Hall,1994,2.0,English,MECHANICAL ENGINEERING
018139,Mechanical Engineering,"Khurmi R S,Gupta J K",New Delhi,Eurasia Pub,2012,,English,MECHANICAL ENGINEERING
018140,A text Book of Electronics Circuits,Sedha R S,New Delhi,S Chand,2010,,English,ELECTRONICS & COMMUNICAT
018141,Industrial & Power Electronics,"Mithal Gyanendra K,Gup",New Delhi,khanna Pub,2010,9.0,English,MECHANICAL ENGINEERING
018142,Fundamentals Of Electrical Drives,Dubey Gopal K,New Delhi,Narasa Pub,2011,2.0,English,ELECTRONICS & COMMUNICAT
018143,Fundamentals Of Information Technology,"Leon Alexis,Lion Mathew",Chennai,Leon Vikas Pub,1999,,English,COMPUTER SCIENCE
018144,Storage Networks Explained,"Troppen UIF,Erkens Rain",Delhi,John Wiley,2011,,English,COMPUTER SCIENCE
018145,Ethical Decision Making & Information Techno,"Kallman Ernest A,Grillo J",New York,Tata Ma Graw,H1996,2.0,English,COMPUTER SCIENCE
018147,Data Warehousing In The Real World,"Murray Dennis,Anahory",New Delhi,Pearson Edu,2009,,English,COMPUTER SCIENCE
018148,Data Mining Concepts & Techniques,"Kambar Micheline,Han J",iGurgaon,Morgan Kaufm,2009,2.0,English,COMPUTER SCIENCE
018150,Grobs Basic Electronics,Schultz Mitchel E,New Delhi,Tata Mc Graw,H2007,10.0,English,ELECTRONICS & COMMUNICAT
018151,Theory Of Structures,"Narayanan R,Ramamrut",hNew Delhi,Dhanpat Rai,2009,,English,COMPUTER SCIENCE
018152,Robotics,K K Appuu Kuttan,New Delhi,I K Internationa,2007,,English,MECHANICAL ENGINEERING
018153,Expert Orcle Database 11g Administration,Alapati Sam R,New Delhi,A Press Pub,2009,,English,COMPUTER SCIENCE
018156,Complier Design,Puntambekar Anuradha,Pune,Technical Pub,2006,,English,COMPUTER SCIENCE
018157,Let Us C Solutions,Kanetkar Yashavant P,New Delhi,BPB Pub,2011,,English,COMPUTER SCIENCE
018160,Mass Transfer Operations,Treybal Robert E,New Delhi,Tata Mc Graw,H1981,3.0,English,MECHANICAL ENGINEERING
018166,Elements Of Heat Engines,"Pandya N G,Shah C S",Anand,Charotar Pub,1990,,English,MECHANICAL ENGINEERING
018167,Tool Design,"Donaldson Cryil,Lecain G",New Delhi,Tata Mc Graw,H2009,,English,MECHANICAL ENGINEERING
018168,Software Engineering,Patil M R,Bagalkot,M R Pub,2011,,English,COMPUTER SCIENCE
018169,Engineering Physics,"Ayachit N H,Mittal P K",New Delhi,I K Internationa,2010,,English,PHYSICS
018170,Design Of Machine Elements Vol- II,Krishna Rao T,New Delhi,I K Internationa,2010,,English,MECHANICAL ENGINEERING
018171,Computer Networks,Rajeswari A,Hyderabad,Professional pu,2011,,English,COMPUTER SCIENCE
018172,Introduction To Mechatronic & Measurement,"Alciatore David C,Histan",dNew Delhi,Tata Mc Graw,H2004,2.0,English,MECHANICAL ENGINEERING
018173,Soft Skills,Alex K,New Delhi,S Chand,2011,,English,COMPUTER SCIENCE
018174,Introduction To The Design & Analysis Of Algo,rLevitin Anany,Delhi,Pearson Edu,2011,2.0,English,MECHANICAL ENGINEERING
018175,The Design & Analysis Of Computer Algorithm,"Aho Alfred V,Hopcroft Jo",Delhi,Pearson Edu,2001,,English,COMPUTER SCIENCE
018176,Concepts Of Physics Volume I,Publications G S,Meerot,G S Publication,2005,,English,PHYSICS
018178,Guide to (BHEL) Bharat Heavy Electrical Limite,Publishers G K,Noida,G K Publishers,2009,,English,MECHANICAL ENGINEERING
018179,UPSC (CSAT) Civil Services Aptitude Test,Subburaj V V K,Bangalore,Sura College,2009,,English,GENERAL
018180,Guide To BHEL Engineer Trainee Electronic En,gPublishers G K,Noida,G K Publisher,2009,,English,ELECTRONICS & COMMUNICAT
018181,IIT Master Solution To 25 Years IIT-JEE Object,G T M,New Delhi,Tata Mc Graw,H2010,,English,COMPUTER SCIENCE
018182,Gateway To Winning A Job,Sundararqjan N,Chennai,V V K Subburaj,2006,1.0,English,COMPUTER SCIENCE
018183,How To Prepare For Quantitative Aptitude For,Sharma Arun,New Delhi,Tata Mc Graw,H2011,4.0,English,GENERAL
018184,Mechanical Engineering For CATE 2012,Slariya Vikas,New Delhi,Tata Mc Graw,H2012,,English,MECHANICAL ENGINEERING
018185,UGC NET/JRE/SET Computer Science & Applica,"Shah Chandresh,Mishra",SAgra,Upkar Prakash,a2012,,English,COMPUTER SCIENCE
018186,Antennas and Wave Propogation,Jr. William D Stevenson,New Delhi,TatamcGraw H,1982,4.0,English,ELECTRONICS & COMMUNICAT
018187,Dc machine and transformers,Dr. Kumar Murugesh.K,New Delhi,Vkas Publicatio,2012,2.0,English,MECHANICAL ENGINEERING
018188,Generall Knowledge Affairs,Chopra J k,New Delhi,Unique Puplica,2012,,English,MECHANICAL ENGINEERING
018190,Programming in C++,Mahapatra P B,New Delhi,S Chand,2008,,English,COMPUTER SCIENCE
018191,How To Read Better and Faster,Lewis Norman,Delhi,Binny publicati,2005,,English,COMPUTER SCIENCE
018192,The Pearson Guide To Complete Mathematic F,Khattar Dinesh,Delhi,Pearson Edu,2005,,English,COMPUTER SCIENCE
018193,A Dictionary of Mechanical Engineering,Singh Navneet,Delhi,Birla Publicatio,2011,,English,MECHANICAL ENGINEERING
018194,Cambribge English Pronouncing Dictionary,Jones Daniel,New York,Cambidge Univ,2006,17.0,English,GENERAL
018195,Essential English Grammer,Murphy Ramond,New Delhi,Cambidge Univ,2011,2.0,English,GENERAL
018196,Oxford Paper Back Thesaurus,Waite Maurice,New Delhi,Oxford Univers,2010,3.0,English,GENERAL
018197,Suras New Supreme English-English Dictionary,Suras,channai,New Suprem,2008,,English,GENERAL
